category,name,price,description,veg_nonveg,spice_level
Sweets,Laddu Special (Moti Choor),₹165,"Bikanervala Special: A traditional Indian sweet made from deep-fried gram flour (besan) pearls, soaked in sugar syrup, and molded into round, bite-sized balls.The 1 KG box contains approximately 24 to 28 Laddus.",Veg,Normal
Sweets,Laddu Banarsi,₹120,"A special variation of the traditional laddu sweet, known for its unique flavor and texture, made with ingredients like gram flour, ghee, and cardamom.This 1 KG Box Approximately Contains 24 to 28 Laddus.",Veg,Normal
Sweets,Laddu Besan,₹170,Traditional gram flour laddus delicately roasted in ghee and sweetened for a delightful treat.,Veg,Normal
Sweets,Laddu Gond,₹210,"Healthy and wholesome laddus made with gond (edible gum), enriched with dry fruits and ghee.",Veg,Normal
Sweets,Laddu Atta,₹150,"Atta Laddu is a delightful offering on our dessert menu, revered for its simplicity and wholesomeness, handcrafted with premium whole wheat flour.Item includes Atta Laddu with approximately 24-28 pieces in 1 KG box.",Veg,Normal
Sweets,Shahi Laddu Atta,₹210,"A wholesome sweet made with wheat flour, ghee, and jaggery, enriched with dry fruits.",Veg,Normal
Sweets,Besan Laddu Special,₹210,"A special variation of the traditional Indian sweet Besan Laddu, crafted from roasted gram flour, ghee, and sugar, offering a unique and delightful flavor.Item includes 22-24 pieces approximately of Besan Laddu in 1 KG box.",Veg,Normal
Sweets,Shahi Besan Dry Fruit Laddu,₹210,"Indulge in the richness of Shahi Besan Dry Fruit Laddu, crafted with roasted gram flour, premium dry fruits, and a hint of aromatic spices. Each bite offers a royal blend of flavors and textures, perfect for celebrations and gifting.",Veg,Normal
Sweets,Laddu Atta Dry Fruit,₹210,"These Delectable Sweets Blend Whole Wheat Flour with an Abundance of Dry Fruits, Offering a Healthier Yet Delicious Dessert Option.",Veg,Normal
Sweets,Laddu Panjeeri,₹180,"A nutritious and wholesome Indian sweet made by combining laddu (sweet spherical treats) with panjeeri (a mixture made from whole wheat flour, ghee, sugar, and nuts).Item includes 22-24 laddu panjeeri approximately in 1KG box.",Veg,Normal
Sweets,laddu Churma,₹260,,Veg,Normal
Sweets,Mewa Bites Box 480G,₹761.90,A premium box filled with an assortment of rich mewa bites for special occasions.,Veg,Normal
Sweets,Mewa Bites Red Box,₹672,"A delightful collection of mewa bites packed in an attractive red box, perfect for festive celebrations.",Veg,Normal
Sweets,Khajoor Dry Fruit Sweet,₹1020,,Veg,Normal
Sweets,Mewa Bite 8Pc,₹252.38,A box of eight bite-sized sweets filled with rich dry fruit flavors.,Veg,Normal
Sweets,Kaju Burfi,₹284,"A popular Indian sweet made from cashew nuts (kaju) and sugar, shaped into smooth, diamond-shaped pieces.This item Contains approximately 60 pieces of Kaju Burfi.",Veg,Normal
Sweets,Dry Rasbhari,₹150,"Dry Rasbhari: Also known as dried cape gooseberries or goldenberries, these are small, tangy, and slightly sweet fruits that have been sun-dried.1KG Box approximately Contains 60 dry Rasbhari.",Veg,Normal
Sweets,Lal Rasbhari,₹160,"Lal Rasbhari is known for its distinctive appearance and sweet, syrupy taste.1 KG box of Lal Rasbhariincludes 60 pieces approximately.",Veg,Normal
Sweets,Kali Rasbhari,₹160,A variety of cape gooseberry that is smaller and typically darker in color when compared to its yellow or golden counterpart. These berries are known for their tartness and are used in various culinary applications.1KG Box approximately Contains 60 Kali Rasbhari.,Veg,Normal
"Chaat, Snacks & Quickbites",Raj Kachori,₹165,"A big crispy sphere ball stuffed with diced boiled potatoes and sprouted black gram, tamarind sauce, mint sauce, and sweet curd sprinkled with chaat masala.This delightful Item includes- 1 Raj Kachori, Dahi, Curd, Chaat Masala and Garnishes.",Veg,Normal
"Chaat, Snacks & Quickbites",Pyaz Kachori- 2 Pieces,₹88,,Veg,Normal
"Chaat, Snacks & Quickbites",Paneer Pakoda,₹45,A mouthwatering Indian snack where soft paneer (cottage cheese) cubes are coated in spiced gram flour batter and deep-fried to golden perfection.This item includes 1 piece of Paneer Pakoda.,Veg,Normal
"Chaat, Snacks & Quickbites",Bread Pakoda,₹45,"A classic Indian snack featuring bread slices dipped in chickpea batter, deep-fried to golden perfection.This item includes 1 Bread Pakora and Chutney.",Veg,Normal
"Chaat, Snacks & Quickbites",Aloo Tikki,₹125,"Aloo Tikki is a popular and delicious Indian street food snack made from mashed potatoes that are seasoned with spices. This item is served with Chutney, Aloo Tikki and Garnishes.",Veg,Normal
"Chaat, Snacks & Quickbites",Samosa - 5 Pieces,₹110,,Veg,Normal
"Chaat, Snacks & Quickbites",Dahi Bhalla,₹160,"Dahi Bhalla is a popular street food and is also served at home during festive occasions and special gatherings.This item includes Bhalla, Dahi, Chutney, and Garnishes.",Veg,Normal
"Chaat, Snacks & Quickbites",Bhel Puri,₹105,"A spicy dish prepared with puffed rice, onion, exotic spices and hot chutney.",Veg,Spicy
"Chaat, Snacks & Quickbites",Papdi Chaat,₹160,"Papdi Chaat is a popular and delightful Indian street food that offers a burst of sweet, spicy, tangy, and crunchy flavors all in one bite.This item is served with boiled diced potatoes, curd, tamarind and mint sauce sprinkled with chaat masala.",Veg,Spicy
"Chaat, Snacks & Quickbites",Pani Puri - Suji,₹70,"""Best Seller – A Must-Try Delight!

Item Includes: 
- 6 crispy puris with 
- Spicy Lal Pani (tamarind water) & 
- Tangy Hara Pani (mint water).

Served with spiced mashed potatoes & chana masala.""",Veg,Spicy
"Chaat, Snacks & Quickbites",Bhalla Papdi,₹165,"Bhalla Papdi is a popular and delightful Indian street food that offers a burst of sweet, spicy, tangy, and crunchy flavors all in one bite.This item is served with Crispy Papdi, Bhalla, Dahi, Chutney and Garnishes.",Veg,Spicy
"Chaat, Snacks & Quickbites",Pyaz Kachori- 1 Piece,₹44,A flaky and crispy kachori stuffed with a spicy onion filling.,Veg,Spicy
"Chaat, Snacks & Quickbites",Samosa- 2 Piece,₹44,,Veg,Normal
"Chaat, Snacks & Quickbites",Pani Puri - Atta,₹70,"Bikanervala Top-Seller: Pani Puri is a popular and iconic street food delicacy loved by people across the country.Pani Puri is served with Potato Fillings, Sweet&Tangy Water, Jaljeera Water",Veg,Normal
"Chaat, Snacks & Quickbites",Paneer Cutlet,₹45,Iconic Delight – A Timeless Classic!Includes: 2 crispy & delicious paneer cutlets.Served with Bikanervala’s special tamarind chutney.,Veg,Normal
"Chaat, Snacks & Quickbites",Pani Puri Box,₹152.54,Your favorite street food now at home! Crispy puris with tangy tamarind water and flavorful fillings.,Veg,Normal
"Chaat, Snacks & Quickbites",Dhokla Sandwich,₹97.50,"Enjoy the Fusion Delight of Dhokla Sandwich.This snack contains Soft, Spongy Dhokla Slices layered with Zesty Chutneys and Fresh Vegetables.This item includes 8 big Squared pieces approximately.",Veg,Normal
"Chaat, Snacks & Quickbites",Samosa- 1 Piece,₹22,"A crispy pastry filled with spiced potatoes and peas, a classic Indian snack.",Veg,Normal
"Chaat, Snacks & Quickbites",Dhokla Plain,₹73.75,"""Signature Special – The Pride of Our Menu!

Available in:
- 1kg (Approx 18 pcs)
- 500g (Approx 9 pcs)
- 250g (Approx 4-5 pcs)

Plain Dhokla, a remarkably soft and spongy snack with a cake-like texture, achieved through fermentation and steaming. Each bite offers a balanced taste, often enhanced by a tempering of mustard seeds, curry leaves, and green chilies.",Veg,Normal
Restaurant,Deluxe Thali,₹395,A complete meal with a variety of Indian dishes served together.,Veg,Normal
Restaurant,Special Thali With Tandoori Roti,₹310,"A ""Special Thali with Tandoori Roti"" is a well-rounded Indian meal that typically includes a variety of dishes served on a single platter, accompanied by freshly baked tandoori roti.Served with Dal Makhni, Paneer Subzi, Two Tandoori Roti , Pulao, Pickle & Sweet",Veg,Normal
Restaurant,Rajma Rice,₹170,Rajma Rice is a wholesome and satisfying meal that is cherished by people of all ages in India.This item includes mix of Rajma and Rice in a bowl.,Veg,Normal
Restaurant,Shahi Paneer,₹360,"Shahi Paneer is a rich and creamy Indian curry made with paneer, which is Indian cottage cheese.",Veg,Normal
Restaurant,Kadai Paneer,₹360,A spicy and flavorful dish of paneer cooked with bell peppers and aromatic spices.,Veg,Spicy
Restaurant,Aloo Kulcha With Dal And Raita,₹270,"Aloo Kulcha with Dal and Raita is a popular North Indian meal that consists of several components.This item includes- Aloo Kulcha, Dal, Raita, and Achar.",Veg,Normal
Restaurant,Paneer Butter Masala,₹360,Soft paneer cubes cooked in a rich and creamy tomato-based gravy.,Veg,Normal
Restaurant,Hyderabadi Chaap,₹260,"Hyderabadi Chaap is a delightful fusion of rich, spicy, and creamy flavors. It's a dish that brings the essence of Hyderabad's cuisine to your plate, and it's sure to satisfy your taste buds with its bold and aromatic profile.",Veg,Spicy
Restaurant,Shahi Paneer With Rice,₹230,Rich paneer curry served with steamed rice for a satisfying meal.,Veg,Normal
Restaurant,Dal Makhani with Rice,₹200,Rich and creamy black lentil curry served with rice.,Veg,Normal
Restaurant,Raita Boondi,₹155,"Raita Boondi is a popular Indian side dish made from yogurt (curd) and tiny, deep-fried chickpea flour balls known as ""boondi."" It's a refreshing and cooling accompaniment to spicy Indian dishes and serves as a great way to balance the heat with its creamy and tangy flavor.",Veg,Spicy
Restaurant,Onion Kulcha With Dal And Raita,₹270,"This Onion Kulcha with Dal and Raita meal is a delightful combination of flavors and textures. The soft and onion-stuffed kulchas complement the dal and the cool raita perfectly. Enjoy this delicious North Indian feast!Item Includes- 1 Onion Kulcha, dal & Raita",Veg,Normal
Restaurant,Tawa Aloo Parantha with Choley & Raita,₹280,Stuffed aloo paratha paired with spicy chole and cooling raita for a wholesome meal.,Veg,Spicy
Restaurant,Shahi Paneer with Roti & Salad,₹310,A traditional Indian dessert made of thin strands of deep-fried dough (Pheni) that is sweetened with sugar and flavored with saffron (Kesar).,Veg,Normal
Restaurant,Paneer Kulcha With Dal And Raita,₹260,"Paneer Kulcha with Dal and Raita is a popular North Indian meal that consists of several components.This item includes- Paneer Kulcha, Dal, Raita, and Achar.",Veg,Normal
Restaurant,Chole with Rice,₹170,Chole with rice is a classic and comforting North Indian dish that consists of spicy chickpea curry (chole) served with steamed rice.Item includes delicious combo of rice with good portion of Chole.,Veg,Spicy
Restaurant,Green Salad,₹120,Slice of assorted vegetables with lemon vinaigrette.,Veg,Normal
Restaurant,Vegetable Raita,₹165,A cool and creamy yogurt dish mixed with finely chopped vegetables.,Veg,Normal
Restaurant,Dal Makhani with Roti & Salad,₹290,"A traditional Indian dish made of saffron-infused thin, fried vermicelli-like strands of dough that are not sweetened.",Veg,Normal
Restaurant,Tandoori Platter,₹400,A Tandoori Platter is a delightful assortment of various tandoor-cooked dishes typically served in Indian restaurants.Item Includes- Stuffed Tandoori Potatoes+Paneer Tikka+Veg Seekh Kabab+Mushroom+Naan+Dal Makhani+Roasted Vegetable Cooked in Tandoor.,Veg,Normal
Restaurant,Paneer Parantha With Curd,₹140,"A stuffed parantha filled with spiced paneer, served with creamy curd.",Veg,Normal
Restaurant,Tandoori Aloo,₹295,Tandoori Aloo is a delicious Indian appetizer or side dish made with marinated and grilled potatoes.Tandoori Aloo is stuffed with Paneer & Stuffed with Chutney.,Veg,Normal
Restaurant,Rajma Masala,₹235,"North Indian dish made with kidney beans, onion, tomato, spices and herbs.",Veg,Normal
Restaurant,Stuffed Paratha With Curd,₹120,"Stuffed Paranthas are a popular type of Indian flatbread made by stuffing various fillings into a wheat flour dough and then pan-frying them until they are golden and crispy.Item Includes- 1 Stuffed Parantha, Curd, and Achar.",Veg,Normal
Restaurant,Veg. Pulao,₹175,Fragrant basmati rice cooked with a mix of fresh vegetables and spices.,Veg,Normal
Restaurant,Dal Makhani,₹320,"The harmonious blend of black lentils, red kidney beans, tomato, ginger and finished with cream and butter.",Veg,Normal
Restaurant,Veg Seekh Kebab,₹270,A delicacy contaning a combination of marinated vegetables cooked in tandoor.,Veg,Normal
Restaurant,Tawa Parantha with Dal & Raita,₹280,Freshly cooked tawa paratha served with flavorful dal and creamy raita.,Veg,Normal
Restaurant,Masala Channa,₹250,"A delicacy based with green chilies, onion, garlic, fresh cilantro, a blend of spices, chickpeas, and tomatoes.",Veg,Normal
Restaurant,Rajma with Rice,₹170,Flavorful kidney bean curry served with steamed rice.,Veg,Normal
Restaurant,Daily Special Vegetables,₹320,Mix veg curry is made by cooking a mixture of vegetables together in a traditional Indian onion-tomato gravy. The dish is characterized by multiple flavors due to the addition of many vegetables which also makes it quite nutritious.,Veg,Normal
Restaurant,Tawa Aloo Parantha with Curd,₹200,A comforting meal of tawa-cooked aloo parantha served with fresh and creamy curd.,Veg,Normal
Restaurant,Chhole Rice,₹170,Rajma chawal is a rice dish where cooked rice is mixed with rajma masala or kidney beans masala.,Veg,Normal
Restaurant,Dosa Masala,₹240,"Masala Dosa, is a popular South Indian dish consisting of a crispy and thin rice crepe (dosa) filled with a flavorful and spiced potato mixture.This item is served with 1 large dosa, Sambhar, Coconut Chutney, Tomato-Onion Chutney.",Veg,Normal
Restaurant,Idli Sambhar,₹155,"Idli Sambhar is a beloved and iconic South Indian dish known for its delightful blend of flavors, textures, and nutritional value.This item contains Idli, Sambhar, Coconut Chutney, Onion-Tomato Chutney.",Veg,Normal
Restaurant,South Indian Platter,₹380,"A South Indian platter typically consists of a variety of delicious dishes that are popular in the southern regions of India, such as Tamil Nadu, Karnataka, Andhra Pradesh, and Kerala. This platter includes- idli, vada, uttapam with sambhar and chutney.",Veg,Normal
Restaurant,Dosa Paneer,₹265,"A delightful fusion where dosa, the South Indian rice crepe, is filled with a flavorful stuffing of paneer (cottage cheese) and spices, creating a delicious and satisfying meal.Item includes 1 Piece Dosa Paneer, Sambhar, Coconut Chutney, Onion-Tomato Chutney.",Veg,Normal
Restaurant,Vada Sambhar,₹155,"Vada Sambhar is a popular South Indian dish and is a classic and beloved breakfast or snack dish in South India.Item Includes- Vada, Sambhar, Coconut Chutney, Tomato-Onion Chutney.",Veg,Normal
Restaurant,Idli & Vada Combo,₹155,Soft steamed idlis and crispy vadas served with chutney and sambar.,Veg,Normal
Restaurant,Dosa Onion Plain,₹225,"A popular South Indian dish where a thin dosa, a crispy rice crepe, is prepared with finely chopped onions, creating a delightful blend of flavors and textures.",Veg,Normal
Restaurant,Uttapam Onion Tomato,₹245,"A South Indian favorite, uttapam is a thick, savory pancake topped with a flavorful mix of onions and tomatoes, creating a delicious and colorful breakfast or snack.",Veg,Normal
Restaurant,Dosa Plain Rawa,₹225,A crispy dosa made from semolina (rawa) batter. Served with Sambhar & Chutney.,Veg,Normal
Restaurant,Dosa Butter Plain,₹210,"A classic South Indian delight, dosa is a thin, crispy rice crepe typically served with a generous spread of butter, offering a simple yet indulgent flavor.",Veg,Normal
Restaurant,Dosa Onion Rawa,₹235,"A popular South Indian crepe made from semolina (rawa) batter, characterized by its crispy texture and enhanced with the addition of onions for a delightful savory flavor.Item includes 1 Dosa Onion Rawa, Sambhar, Coconut Chutney, Onion-Tomato Chutney.",Veg,Normal
Restaurant,Dosa Butter Masala,₹250,"A decadent South Indian treat where dosa, a crispy rice crepe, is generously smeared with creamy and aromatic butter masala, offering a rich and savory indulgence.Item Includes- 1 Dosa, Sambhar, Coconut Chutney, Onion-Tomato Chutney.",Veg,Normal
Restaurant,Sambhar With Rice,₹149,Steamed rice served with tangy and flavorful South Indian Sambhar.,Veg,Normal
Restaurant,Uttapam Plain,₹215,"A simple yet delicious South Indian pancake made from fermented rice and lentil batter, typically enjoyed without any toppings or fillings, highlighting the natural flavor of the batter.",Veg,Normal
Restaurant,Onion Rawa Masala Dosa,₹255,"A popular South Indian dish, it's a crispy, fermented semolina (rawa) crepe filled with a spiced potato mixture and garnished with onions. Delicious and savory!Item includes 1 Onion Rawa Masala Dosa, Sambhar, Coconut Chutney, and Onion-Tomato Chutney.",Veg,Normal
Restaurant,Paper Plain Dosa,₹245,"Thin and crispy plain dosa, served with chutney and sambar.",Veg,Normal
Restaurant,Uttapam Onion,₹245,"A delicious South Indian pancake made from fermented rice and lentil batter, topped with a generous layer of chopped onions, offering a unique blend of flavors and textures.",Veg,Normal
Restaurant,Mysore Masala Dosa,₹255,Spicy dosa with a special Mysore-style masala filling. Served with Sambhar & Chutney.,Veg,Spicy
Restaurant,Dosa Rawa Masala,₹245,"A delectable South Indian creation, this dosa is made from semolina (rawa) batter, crispy on the outside, and typically filled with a flavorful spiced potato mixture.Item includes 1 Dosa Rawa Masala, Sambhar, Coconut Chutney, Tomato-Onion Chutney.",Veg,Normal
Restaurant,Uttapam Mix Veg.,₹250,"A South Indian specialty, uttapam is a thick, savory pancake topped with a medley of mixed vegetables, creating a colorful and flavorful breakfast or snack.",Veg,Normal
Restaurant,Uttapam Tomato,₹245,"A flavorful South Indian pancake prepared with a fermented rice and lentil batter, topped with slices of fresh tomatoes for a tangy and refreshing twist.",Veg,Normal
Restaurant,Dosa Paper Masala,₹265,Thin and crispy dosa stuffed with spiced potato masala. Served with Sambhar & Chutney.,Veg,Normal
Restaurant,Dosa Onion Masala,₹250,"A scrumptious South Indian delicacy where a thin dosa is generously filled with a spicy and aromatic onion and potato masala, offering a delightful flavor combination.Item includes- 1 Dosa Onion Masala, Sambhar, Coconut Chutney & Onion-Tomato Chutney.",Veg,Spicy
Restaurant,Dosa Plain,₹210,"Plain Dosa is a popular South Indian crepe made from fermented rice and urad dal (black gram) batter. Dosas are versatile and can be enjoyed for breakfast, lunch, or dinner. Item Includes 1 Plain Dosa, Sambhar, Coconut Chutney & Tomato-Onion Chutney.",Veg,Normal
Restaurant,Veg. Noodles,₹230,Veg noodle is a quick and versatile meal that's perfect for lunch or dinner.This item includes 1 bowl veg noodles and sauces.,Veg,Normal
Restaurant,Noodles With Manchurian,₹255,Veg Chowmein with Veg Manchurian is a popular Indo-Chinese dish that combines two delicious components: Chowmein (stir-fried noodles) and Manchurian (vegetable balls in a savory sauce).This item is served with 1 bowl of Veg Chowmien mix with Veg Manchurian.,Veg,Normal
Restaurant,Noodles With Chilli Paneer,₹250,Chow mein with chili paneer is a delicious fusion dish that combines Chinese stir-fried noodles (chow mein) with spicy and flavorful Indian-style chili paneer (cottage cheese). It's a popular and satisfying Indo-Chinese dish.Item Includes Chowmien with good portion of Chilly Paneer.,Veg,Spicy
Restaurant,Veg. Manchurian (Gravy),₹265,"Veg Manchurian Gravy is a popular Indo-Chinese dish made with vegetable dumplings (Manchurian balls) served in a flavorful and tangy gravy. It's a delicious and comforting dish that pairs well with steamed rice, fried rice, or noodles. Item includes 6 pieces of Manchurian.",Veg,Normal
Restaurant,Veg Fried Rice,₹210,Veg fried rice is a popular Indo-Chinese dish that combines cooked rice with a variety of vegetables and flavored with soy sauce and other seasonings. It's a versatile and delicious dish that you can customize to your taste.,Veg,Normal
Restaurant,Chinese Platter,₹365,"It is a selection of Chinese dishes served together on a single platter or plate. It's a popular way to enjoy a variety of Chinese flavors and textures in one meal.A delicious combo of veg noodles, veg fried rice, chilli paneer and veg manchurian gravy.",Veg,Spicy
Restaurant,Veg. Manchurian (Dry),₹265,Fried vegetable dumplings are served in Chinese style. Item includes 8 pieces of Veg Manchurian.,Veg,Normal
Restaurant,Fried Rice With Chilli Paneer,₹240,Fried rice with chili paneer is a delicious and popular Indo-Chinese dish that combines the flavors of fried rice with spicy and flavorful chili paneer (a type of Indian cottage cheese). It's a perfect fusion of Chinese and Indian cuisines and is loved by many.Item Includes Delicious combo of rice and with good portion of chilly paneer.,Veg,Spicy
Restaurant,Chilli Cripsy Potatoes,₹190,Crispy fried potato strips tossed in a spicy and tangy sauce.,Veg,Spicy
Restaurant,Honey Chilli Potato,₹190,Honey Chilli Potato is a popular Indo-Chinese appetizer or snack that features crispy fried potato strips coated in a sweet and spicy honey chili sauce.,Veg,Spicy
Restaurant,Chilli Garlic Noodles,₹220,"Noodles stir-fried with garlic, chilies, and vegetables.",Veg,Normal
Restaurant,Chilly Paneer (Gravy),₹305,Chilli Paneer Gravy is a popular Indo-Chinese dish that features soft and succulent paneer (Indian cottage cheese) cubes cooked in a flavorful and spicy gravy. Item includes  6 pieces of Paneer Cubes.,Veg,Spicy
Restaurant,Veg. Garlic Noodles,₹220,Noodles stir-fried with garlic and mixed vegetables.,Veg,Normal
Restaurant,Chilly Paneer (Dry),₹305,Chilli Paneer Dry is a flavorful and spicy dish that's sure to please fans of Indo-Chinese cuisine. You can adjust the spiciness to your liking by varying the amount of green chilies and red chili powder.Item includes 8 pieces of paneer cubbes.,Veg,Spicy
Restaurant,Fried Rice With Manchurian,₹240,"Chopped vegetables and rice, stir fried in sauces served with manchurian.Item Includes- 1 Bowl of Fried Rice with a good portion of Manchurian.",Veg,Normal
Restaurant,Grilled Sandwich With Chips,₹185,Grilled Sandwich With Chips: A grilled sandwich served with chips.,Veg,Normal
Restaurant,French Fries,₹105,"Crispy golden fries, perfect as a snack or side dish.",Veg,Normal
Restaurant,Veg. Cheese Sandwich,₹65,Veg. Cheese Sandwich: A vegetarian sandwich with cheese.,Veg,Normal
Restaurant,Veg. Cheese Burger,₹130,Indian style burger stuffed with crispy potatoes and veg. Patties and cheese.Item Includes- 1 piece of Veg Cheese Burger.,Veg,Normal
